Id_bien;No_voie;Type de voie;Voie;Surface Carrez ;Type local;Nombre pieces principales;Id_codedep_codecommune
1;190A;RUE;CENTRALE;50.42;Appartement;2;1350
2;347;RUE;DU CHATEAU;48.22;Appartement;3;1103
3;58;AV;DU MONT BLANC;130.8;Appartement;6;1143
1431;736;CD;135;115.11;Maison;4;6155
5;39;RUE;BUFFON;108.65;Appartement;4;1033
6;28;AV;JEAN FALCONNIER;31.65;Appartement;2;1138
7;8;RUE;DE GENEVE;52.58;Appartement;2;1354
8;2;RUE;DU RECULET;58.71;Appartement;2;1354
27370;2;RLE;A GUITARD;137.81;Maison;6;94047
16810;15;ALL;AGNES SOREL;133.8;Maison;5;77100
11;276;RTE;DE POUGNY;35.6;Appartement;2;1288
12;79;CRS;DE VERDUN;138.03;Appartement;5;1283
13;77B;RUE;DU COMMERCE;42;Appartement;2;1357
14;240;RUE;DE PRE BAILLY;45.36;Appartement;2;1173
15;3;RUE;TURENNE;82.6;Appartement;4;1033
16;44;ALL;DU SQUARE DE LAUSANNE;88.11;Appartement;4;1143
17;59;RUE;ALEXANDRE BERARD;164.87;Appartement;6;1004
18;282;CHE;DES LONGES RAYES;42.2;Appartement;2;1071
19;54;GR;GRANDE RUE;68.11;Appartement;3;1396
20;1;RUE;DE GEX;82.59;Appartement;3;1160
21;17;LOT;LES JARDINS DE CHEVRY;30.23;Appartement;1;1103
22;329;RUE;DES CARPIERES;24.8;Appartement;1;1399
23;369;AV;CHARLES DE GAULLE;52.6;Appartement;2;1202
24;154;RUE;SUR LA VIGNETTE;91.69;Appartement;3;1204
25;6;RUE;DES USINIERS;45.54;Appartement;1;1173
26;2;RUE;DU JURA;84.24;Appartement;3;1354
27;54;RUE;MARCEL DEMIA;68.23;Appartement;3;1004
28;269;CHE;DE CHARIGNIN;62.03;Appartement;3;1034
30;132;ALL;DES HETRES;131.91;Appartement;4;1354
31;80;RUE;DE MEYRIN;63.58;Appartement;3;1160
32;4;RUE;DE LA MAIRIE;35.86;Appartement;3;1138
33;79;GR;GRANDE RUE DE BULLIEZ;70.09;Appartement;3;1202
34;8;RUE;DE LA BIENNE;200;Appartement;4;1148
35;29;RUE;REINE CLOTILDE;54.84;Appartement;2;1004
36;3;RUE;STE MARIE;72.75;Appartement;4;1034
6393;9;RUE;AIMEE ANTOINETTE CAMUS;79.97;Maison;4;33550
38;1;AV;DU BIJOU;71.08;Appartement;3;1160
11171;8B;RUE;ALBAN MARIE;51.02;Maison;3;47323
40;211;RUE;CHANTEPIE;44.48;Appartement;2;1313
41;25;RUE;DE LA ROCHE SAMUEL;64.21;Appartement;2;1060
2887;62;RUE;ALBE;101.98;Maison;2;13204
44;91;CHE;DE LA PLANCHE BRULEE;133.77;Appartement;4;1160
45;3;RUE;DU DOCTEUR GREZEL;107.61;Appartement;5;1269
46;28;RUE;DU DOC CHARCOT;42.78;Appartement;2;1345
7288;15B;RUE;ALBERT CAMUS;80.83;Maison;4;34198
48;10;RUE;AMPERE;68.11;Appartement;2;1283
49;1;RUE;GERARD DE NERVAL;70.78;Appartement;3;1031
50;10;RUE;DES HAUTAINS;112.3;Appartement;5;1354
9702;26;RUE;ALBERT CAMUS;122.68;Maison;5;42271
52;84;RUE;DE MEYRIN;63.45;Appartement;3;1160
53;115;RUE;MASONOD;77.3;Appartement;4;1185
25376;73;RUE;ALBERT DHALENNE;88.34;Maison;4;93070
55;26;CHE;DE LA PLANCHE BRULEE;66.95;Appartement;3;1160
56;2;RUE;DE CHAMP FUSY;30.62;Appartement;1;1354
57;53;ALL;DES PRUNUS;165.92;Appartement;5;1354
58;541;RUE;DES MONTS JURA;51.99;Appartement;2;1210
59;386;CHE;DES SOUPIRS;63.17;Appartement;3;1034
60;663;RTE;BLANCHE;84.97;Appartement;3;1399
61;377;RUE;DES ABATTOIRS;88.7;Appartement;4;1173
62;60;ALL;DES FRERES CAUDRON;50.64;Appartement;2;1004
63;86;RUE;DE LA REPUBLIQUE;38;Appartement;1;1033
64;148;IMP;DU SAUGY;70.53;Appartement;3;1281
6741;212;ALL;ALBERT SCHWEITZER;78.52;Maison;3;33422
66;27;RLE;DE L EGLISE;46.12;Appartement;3;1173
67;5;PL;DE L EGLISE;37.63;Appartement;2;1202
68;94;ALL;SIMON VAN DER MEER;87.38;Appartement;4;1313
69;242;RUE;DE PRE BAILLY;50.33;Appartement;2;1173
70;8;RTE;DE DIVONNE;134.17;Appartement;4;1436
71;24;RUE;LAMARTINE;47.65;Appartement;3;1033
4656;3B;RUE;ALBERT TRIBOULET;100.69;Maison;4;26281
73;27;RUE;DES VERGERS;43.42;Appartement;2;1419
4558;29;RUE;ALBERT VARNET;175;Maison;5;26362
75;13;RUE;JEAN MONNET;54.65;Appartement;2;1004
76;2;RUE;DE LA BATISSE;81.15;Appartement;3;1004
77;33;RUE;DE GENEVE;53.43;Appartement;3;1354
78;30;RUE;DE VERSOIX;74.85;Appartement;3;1160
2695;19;BD;ALBIN BANDINI;62.12;Maison;3;13216
16926;4;RUE;ALEX;124.98;Maison;7;77373
20112;117;AV;ALEX PEIRE;62.15;Maison;5;83126
6812;3;PL;ALEXANDER FLEMING;127.79;Maison;2;33009
83;33;MAIL;DU NEUTRINO;71.43;Appartement;3;1313
84;75;RUE;DES VERGERS;56.02;Appartement;3;1419
85;27;RTE;DE CESSY;85.12;Appartement;4;1435
86;60;RUE;DE SAVOIE;75;Appartement;4;1033
87;90;RUE;DE LAUSANNE;135.68;Appartement;4;1143
88;72;RUE;DE LA REPUBLIQUE;35.59;Appartement;2;1004
89;198;RTE;DE VOUVRAY;62.38;Appartement;3;1033
90;198;RTE;DE VOUVRAY;92.04;Appartement;4;1033
91;786;AV;DES VOIRONS;46.05;Appartement;2;1143
92;256;AV;DE BELLE FERME;34.56;Appartement;2;1173
93;1143;RUE;CLAIRES FONTAINES;43.23;Appartement;2;1390
18387;53;RUE;ALEXANDRE DUMAS;52.19;Maison;3;78311
95;150;RUE;DE LA REPUBLIQUE;38.67;Appartement;2;1034
96;14;RUE;CASTELLION;88;Appartement;3;1283
97;38;AV;DE VESSY;56.96;Appartement;2;1160
98;256;AV;DE BELLE FERME;55.4;Appartement;3;1173
99;36;RUE;DES APOTRES;74.72;Appartement;2;1004
19141;7;RUE;ALEXANDRE DUMAS;87;Maison;4;78481
102;223;RUE;DES PRALETS;113.52;Appartement;4;1281
103;232;RUE;DE LA ROCHETTE;127.2;Appartement;4;1079
104;3A;RUE;GEORGES CHARPAK;47.6;Appartement;2;1354
105;9;RUE;DE LA FLAUDIERE;65.29;Appartement;3;1199
106;392;RTE;DE VOUVRAY;81.24;Appartement;4;1033
108;8;RUE;GEORGES MARIN;69.66;Appartement;3;1033
109;6066;RUE;DES BATTOIRS;69.65;Appartement;3;1419
110;1;ESPA;CHARLES DE GAULLE;64.44;Appartement;3;1283
111;54;RUE;ANTOINE JACQUET;88.83;Appartement;4;1033
113;7;RUE;DU DOCTEUR GREZEL;45.5;Appartement;2;1269
21121;17;IMP;ALEXANDRE DUMAS;67.57;Maison;3;85191
115;120B;CHE;DU MARTINET;67.94;Appartement;3;1071
116;12;RUE;DU MURET;22.2;Appartement;1;1283
117;47;RUE;DU CHANE;48.38;Appartement;2;1014
118;1;RUE;JOLIOT CURIE;56.65;Appartement;2;1033
119;15;CHE;DU LAVOIR;32.27;Appartement;2;1390
120;68;RUE;DES USINIERS;61.54;Appartement;4;1173
21145;34;IMP;ALEXANDRE DUMAS;81.84;Maison;4;85191
122;9;RUE;DES FRERES SERPOLLET;53.81;Appartement;3;1138
123;231;RUE;DE LA RABOUDIERE;71.8;Appartement;3;1224
124;80;RUE;DE MEYRIN;63.54;Appartement;3;1160
23682;42B;RUE;ALEXIS BOUVIER;72.8;Maison;4;92025
126;47;CHE;DES ECOLIERS;51.7;Appartement;2;1143
127;48;RUE;DE GENEVE;114.17;Appartement;4;1160
128;40;IMP;DES PISTES;21.48;Appartement;2;1210
129;4;IMP;DU PEGAN;36.21;Appartement;1;1160
130;4;PL;DE L HOTEL DE VILLE;44.24;Appartement;2;1199
131;76;RUE;COLONEL XAVIER RENDU;54.7;Appartement;2;1033
132;18;AV;FRANCIS BLANCHARD;51;Appartement;2;1173
133;711;RUE;DES MORAINES;42.92;Appartement;2;1103
134;120B;CHE;DU MARTINET;68.08;Appartement;3;1071
135;35;RUE;BUFFON;70.15;Appartement;3;1033
136;20;RUE;PARMENTIER;57.23;Appartement;2;1033
137;461;RUE;JEAN-JACQUES ROUSSEAU;132.16;Appartement;5;1354
138;114;RUE;DU CONTE DES PERMISSIONS;58.62;Appartement;2;1143
139;38B;RUE;JOSEPH MARION;61.89;Appartement;3;1033
140;242;RUE;DES VERTES CAMPAGNES;92.45;Appartement;3;1173
141;44;RUE;PASTEUR;71.29;Appartement;3;1202
13645;48;RUE;ALFRED ANDRE;75.19;Maison;3;62139
143;183;RUE;DU VIEUX BOURG;45.12;Appartement;1;1399
144;54B;RUE;ARISTIDE BRIAND;70.45;Appartement;3;1004
145;99;RUE;DE L AMITIE;78.54;Appartement;4;1034
146;16;RUE;DES HAUTAINS;52.58;Appartement;2;1354
148;17;AV;DES ALPES;95.66;Appartement;5;1160
149;35;RUE;DES PRELES;87.23;Appartement;4;1401
150;78;AV;DU GEN SARRAIL;92.47;Appartement;5;1004
151;22;RUE;DE L AVENIR;89.2;Appartement;5;1033
152;7;RUE;TURENNE;28.8;Appartement;1;1033
153;86;RUE;GUSTAVE EIFFEL;46.68;Appartement;2;1031
154;16;AV;DU JURA;2.36;Appartement;0;1160
155;6;RUE;GEORGES MARIN;68.92;Appartement;3;1033
156;346;RUE;DE PRE BAILLY;68.45;Appartement;3;1173
16660;37;RUE;ALFRED DE MUSSET;160.18;Maison;7;77373
158;6066;RUE;DES BATTOIRS;59.67;Appartement;2;1419
159;348;RUE;DE PRE BAILLY;77.86;Appartement;4;1173
16928;10;RUE;ALFRED DE MUSSET;73.03;Maison;5;77445
161;86;RUE;DE MEYRIN;63.27;Appartement;3;1160
162;181;RUE;PARC JEAN MONNET;133.24;Appartement;4;1354
163;28;CHE;DU PEUDEX;67.33;Appartement;3;1143
164;62;CHE;DU PONT DE GREMAZ;68.69;Appartement;3;1419
165;1;ALL;ALBERT CAMUS;58.3;Appartement;2;1033
166;10;RUE;DES HAUTAINS;111.06;Appartement;5;1354
167;13;PL;DES FOURS;117.63;Appartement;5;1034
168;4;CHE;DU MARAIS;85.12;Appartement;4;1313
169;67;RTE;DE GENEVE;42.01;Appartement;2;1071
17018;35;RUE;ALFRED DE VIGNY;106.95;Maison;6;77445
171;67;RTE;DE CHAVORNOD;57.5;Appartement;3;1034
172;96;RUE;DU JURA;90.4;Appartement;4;1143
173;282;CHE;DES LONGES RAYES;42.59;Appartement;2;1071
174;152;GR;GRANDE RUE;50.11;Appartement;1;1143
175;170;RUE;DES TERREAUX;32.6;Appartement;2;1173
6981;19;RUE;ALFRED DEJEAN;103;Maison;5;33009
177;780;RUE;DE LA REPUBLIQUE;135.89;Appartement;2;1158
178;53;ALL;DES PRUNUS;166.98;Appartement;5;1354
179;71;CHE;DE LA PRALAY;58.13;Appartement;2;1135
180;46;AV;DES NATIONS;38.67;Appartement;2;1443
10218;7;RUE;ALFRED SISLEY;93.92;Maison;5;44162
182;151;RTE;DE BELLEVILLE;86.8;Appartement;3;1258
183;9;RUE;NEUVE;41.82;Appartement;1;1262
184;768;RUE;EDOUARD HERRIOT;56.63;Appartement;2;1194
185;172;RUE;HECTOR BERLIOZ;79.06;Appartement;3;1030
186;2;RUE;DE LYON;65.82;Appartement;3;1244
187;1172;RTE;DE GENEVE;38.43;Appartement;3;1142
188;62;CHE;DU BONATIER;85.95;Appartement;4;1248
189;40;MTE;DES CANNES;48.42;Appartement;2;1450
28584;11;RUE;ALFRED SISLEY;136.54;Maison;5;95369
191;27;RUE;FERNAND THUILLART;165.11;Appartement;6;2408
192;1;RUE;CONDORCET;71.5;Appartement;4;2408
193;15;RUE;DU REMPART SAINT REMY;82.54;Appartement;3;2408
194;11;RUE;BONNOT;39.97;Appartement;2;2408
195;2;RUE;MAZIN;146.68;Appartement;4;2304
196;13;RUE;PAUL DOUMER;31.6;Appartement;2;2408
24999;40;ALL;ALICE;62.78;Maison;3;93010
198;13;RUE;VINCHON;73.5;Appartement;3;2408
199;15;RUE;DU CHANGE;23.82;Appartement;1;2408
200;13;RUE;PAUL DOUMER;37.3;Appartement;2;2408
201;13;RUE;PAUL DOUMER;49.1;Appartement;2;2408
202;27;RUE;CARLIER HENNECART;30.94;Appartement;1;2408
24313;10;ALL;ALLEE DE LA TREILLE;57.95;Maison;2;92064
204;27;RUE;JEAN RACINE;27.19;Appartement;1;2408
205;10;PL;DU MARCHE;46.92;Appartement;2;2408
207;1;RUE;CONDORCET;88.5;Appartement;5;2408
208;1;RLE;DES NEUFLIERS;24.05;Appartement;1;2408
16831;13;RUE;ALPHONSE ALLAIS;109.23;Maison;6;77350
210;1;PL;BOUZIER;60.05;Appartement;3;2173
211;1;RUE;CONDORCET;89;Appartement;5;2408
212;30;RUE;SERURIER;23.86;Appartement;1;2408
213;16;RUE;DE MONTEVIDEO;25;Appartement;3;2680
214;108;BD;GAMBETTA;148.41;Appartement;5;2738
215;32;RUE;DE LA LINOTTE;47.44;Appartement;2;2408
1792;10;CHE;ALPHONSE DAUDET;130.09;Maison;5;6027
217;32;RUE;DE LA LINOTTE;53.42;Appartement;3;2408
218;9003;RUE;ROBERT GODARD;66.36;Appartement;3;2318
219;4;RUE;DE LA CONGREGATION;28.13;Appartement;1;2408
10508;6;RUE;ALPHONSE DAUDET;29.29;Maison;1;44012
221;3;AV;CARNOT;77.91;Appartement;3;2408
222;30;RUE;SERURIER;26.4;Appartement;1;2408
223;2;RUE;DE LA SELLERIE;119.4;Appartement;4;2691
224;1;RUE;D ISLE;33.49;Appartement;1;2691
225;23;RUE;DU GOUVERNEMENT;96.4;Appartement;4;2691
226;15;RUE;VARLET;53.22;Appartement;2;2691
227;2;PL;FERNAND MARQUIGNY;142.98;Appartement;5;2722
228;36;RUE;DU MOULIN BOTTE;50.16;Appartement;2;2226
229;12;RUE;DES PAVEURS;108.49;Appartement;4;2722
230;2;BD;JEANNE D ARC;29.16;Appartement;1;2722
8299;4;ALL;ALPHONSE RIVERAIN;128.58;Maison;5;37122
232;1;RUE;DE LA SURCHETTE;64.21;Appartement;4;2722
233;18;RUE;QUINQUET;121.9;Appartement;5;2722
235;7;RUE;DE FONTENOY;49.99;Appartement;3;2795
