CODDEP;CODCOM;COM;PTOT;Id_codedep_codecommune;Code postal;Id_region
1;4;Ambérieu-en-Bugey;14514;1004;1500.0;3
1;14;Arbent;3442;1014;1100.0;3
1;30;Beauregard;844;1030;1480.0;3
1;31;Bellignat;3886;1031;1100.0;3
1;33;Valserhône;16728;1033;1200.0;3
1;34;Belley;9582;1034;1300.0;3
1;60;Brénod;514;1060;1110.0;3
1;71;Cessy;4925;1071;1170.0;3
1;79;Champagne-en-Valromey;842;1079;1260.0;3
1;103;Chevry;2196;1103;1170.0;3
1;109;Collonges;2272;1109;1550.0;3
1;135;Crozet;2235;1135;1170.0;3
1;138;Culoz;3068;1138;1350.0;3
1;142;Dagneux;4834;1142;1120.0;3
1;143;Divonne-les-Bains;10190;1143;1220.0;3
1;148;Dortan;1925;1148;1590.0;3
1;153;Échenevex;2189;1153;1170.0;3
1;158;Farges;1065;1158;1550.0;3
1;160;Ferney-Voltaire;10189;1160;1210.0;3
1;173;Gex;13391;1173;1170.0;3
1;185;Plateau d'Hauteville;5020;1185;1110.0;3
1;187;Haut Valromey;639;1187;1260.0;3
1;192;Izernore;2338;1192;1580.0;3
1;194;Jassans-Riottier;6439;1194;1480.0;3
1;199;Jujurieux;2183;1199;1640.0;3
1;202;Lagnieu;7308;1202;1150.0;3
1;204;Le Poizat-Lalleyriat;750;1204;1130.0;3
1;210;Lélex;232;1210;1410.0;3
1;224;Loyettes;3256;1224;1360.0;3
1;240;Matafelon-Granges;643;1240;1580.0;3
1;244;Meximieux;8062;1244;1800.0;3
1;247;Mijoux;326;1247;1410.0;3
1;248;Mionnay;2251;1248;1390.0;3
1;258;Montceaux;1222;1258;1090.0;3
1;262;Montluel;6969;1262;1120.0;3
1;269;Nantua;3589;1269;1130.0;3
1;281;Ornex;4653;1281;1210.0;3
1;283;Oyonnax;22935;1283;1100.0;3
1;288;Péron;2772;1288;1630.0;3
1;313;Prévessin-Moëns;8950;1313;1280.0;3
1;345;Saint-Denis-en-Bugey;2300;1345;1500.0;3
1;350;Saint-Étienne-du-Bois;2582;1350;1370.0;3
1;354;Saint-Genis-Pouilly;14143;1354;1630.0;3
1;357;Saint-Germain-de-Joux;509;1357;1130.0;3
1;363;Saint-Jean-le-Vieux;1842;1363;1640.0;3
1;390;Saint-Vulbas;1267;1390;1150.0;3
1;396;Sault-Brénaz;990;1396;1150.0;3
1;399;Ségny;2158;1399;1170.0;3
1;401;Sergy;2238;1401;1630.0;3
1;419;Thoiry;6197;1419;1710.0;3
1;435;Versonnex;2226;1435;1210.0;3
1;436;Vesancy;492;1436;1170.0;3
1;443;Villars-les-Dombes;5073;1443;1330.0;3
1;450;Villieu-Loyes-Mollon;3784;1450;1800.0;3
2;64;Belleu;3885;2064;2200.0;7
2;168;Château-Thierry;15616;2168;2400.0;7
2;173;Chauny;12072;2173;2300.0;7
2;201;Cœuvres-et-Valsery;447;2201;2600.0;7
2;226;Courmelles;1893;2226;2200.0;7
2;304;La Fère;2973;2304;2800.0;7
2;305;Fère-en-Tardenois;3056;2305;2130.0;7
2;318;Folembray;1399;2318;2670.0;7
2;408;Laon;24970;2408;2000.0;7
2;410;Largny-sur-Automne;254;2410;2600.0;7
2;537;Nanteuil-la-Fosse;203;2537;2880.0;7
2;680;Saint-Gobain;2331;2680;2410.0;7
2;691;Saint-Quentin;54851;2691;2100.0;7
2;722;Soissons;29363;2722;2200.0;7
2;738;Tergnier;13788;2738;2700.0;7
2;755;Urcel;599;2755;2000.0;7
2;758;Vailly-sur-Aisne;2049;2758;2370.0;7
2;795;Vic-sur-Aisne;1636;2795;2290.0;7
2;810;Villers-Cotterêts;10841;2810;2600.0;7
3;95;Cusset;12955;3095;3300.0;3
3;190;Moulins;19788;3190;3000.0;3
3;310;Vichy;25302;3310;3200.0;3
3;321;Yzeure;13355;3321;3400.0;3
4;6;Allos;832;4006;4260.0;9
4;19;Barcelonnette;2762;4019;4400.0;9
4;22;Barrême;425;4022;4330.0;9
4;39;Castellane;1509;4039;4120.0;9
4;49;Château-Arnoux-Saint-Auban;5197;4049;4160.0;9
4;69;Demandolx;138;4069;4120.0;9
4;70;Digne-les-Bains;17404;4070;4000.0;9
4;73;Enchastrayes;400;4073;4400.0;9
4;79;L'Escale;1408;4079;4160.0;9
4;86;Faucon-de-Barcelonnette;320;4086;4400.0;9
4;88;Forcalquier;5209;4088;4300.0;9
4;94;Gréoux-les-Bains;2687;4094;4800.0;9
4;96;Jausiers;1158;4096;4850.0;9
4;102;Le Lauzet-Ubaye;182;4102;4340.0;9
4;112;Manosque;23197;4112;4100.0;9
4;126;Montclar;421;4126;4140.0;9
4;139;Noyers-sur-Jabron;532;4139;4200.0;9
4;143;Oraison;5941;4143;4700.0;9
4;145;Peipin;1485;4145;4200.0;9
4;151;Pierrerue;533;4151;4300.0;9
4;166;Riez;1765;4166;4500.0;9
4;176;Sainte-Croix-du-Verdon;123;4176;4500.0;9
4;178;Saint-Étienne-les-Orgues;1354;4178;4230.0;9
4;189;Saint-Martin-de-Brômes;641;4189;4800.0;9
4;197;Sainte-Tulle;3520;4197;4220.0;9
4;203;Selonnet;484;4203;4140.0;9
4;205;Seyne;1406;4205;4140.0;9
4;209;Sisteron;7834;4209;4200.0;9
4;226;Uvernet-Fours;608;4226;4400.0;9
4;230;Valensole;3235;4230;4210.0;9
4;242;Villeneuve;4401;4242;4180.0;9
4;244;Volonne;1678;4244;4290.0;9
4;245;Volx;3281;4245;4130.0;9
5;1;Abriès-Ristolas;389;5001;5460.0;9
5;4;Ancelle;932;5004;5260.0;9
5;6;L'Argentière-la-Bessée;2341;5006;5120.0;9
