Id_vente;Id_bien;Date mutation;Valeur fonciere;Id_codedep_codecommune
1;1;03/02/2020;56000;1350
2;2;02/01/2020;165000;1103
3;3;08/01/2020;720000;1143
4;4;06/01/2020;429250;1288
5;5;07/01/2020;220900;1033
6;6;21/01/2020;42000;1138
7;7;07/01/2020;262000;1354
8;8;08/01/2020;190000;1354
9;9;16/01/2020;563130;1143
10;10;17/01/2020;535000;1354
11;11;16/01/2020;330000;1288
12;12;27/01/2020;110600;1283
13;13;30/01/2020;50000;1357
14;14;09/01/2020;212000;1173
15;15;15/01/2020;160000;1033
16;16;20/01/2020;561550;1143
17;17;28/01/2020;358000;1004
18;18;22/01/2020;220000;1071
19;19;27/01/2020;79300;1396
20;20;06/01/2020;285000;1160
21;21;27/01/2020;123100;1103
22;22;16/01/2020;107500;1399
23;23;30/01/2020;128810;1202
24;24;05/02/2020;31000;1204
25;25;21/01/2020;125000;1173
26;26;31/01/2020;285000;1354
27;27;03/02/2020;140500;1004
28;28;27/01/2020;101050;1034
29;29;31/01/2020;530000;1281
30;30;29/01/2020;486415;1354
31;31;28/01/2020;185000;1160
32;32;16/01/2020;131376;1138
33;33;23/01/2020;155000;1202
34;34;31/01/2020;150000;1148
35;35;03/02/2020;67000;1004
36;36;13/01/2020;114000;1034
37;37;07/02/2020;143850;1202
38;38;23/01/2020;237900;1160
39;39;24/01/2020;425000;1160
40;40;06/02/2020;220000;1313
41;41;07/02/2020;55000;1060
42;42;07/02/2020;164665;1004
44;44;06/02/2020;475150;1160
45;45;12/02/2020;132500;1269
46;46;05/02/2020;68000;1345
47;47;30/01/2020;570840;1419
48;48;03/02/2020;135700;1283
49;49;05/02/2020;62500;1031
50;50;03/02/2020;332500;1354
51;51;07/02/2020;428000;1313
52;52;28/01/2020;210000;1160
53;53;12/02/2020;50000;1185
54;54;28/01/2020;592487;1173
55;55;10/02/2020;295000;1160
56;56;12/02/2020;133000;1354
57;57;29/01/2020;580450;1354
58;58;20/02/2020;105500;1210
59;59;04/02/2020;152900;1034
60;60;05/02/2020;352300;1399
61;61;17/02/2020;215000;1173
62;62;14/02/2020;128460;1004
63;63;14/02/2020;90500;1033
64;64;11/02/2020;305500;1281
65;65;18/02/2020;430000;1071
66;66;04/02/2020;152470;1173
67;67;13/02/2020;55000;1202
68;68;18/02/2020;465660.47;1313
69;69;12/02/2020;167550;1173
70;70;11/02/2020;212862;1436
71;71;19/02/2020;54000;1033
72;72;14/02/2020;390000;1419
73;73;24/02/2020;160000;1419
74;74;25/02/2020;156580;1192
